Total Time, Response Time
0, 66
0, 108
0, 55
0, 114
0, 56
0, 61
0, 112
0, 112
0, 60
0, 114
0, 55
0, 57
1, 55
1, 56
1, 54
1, 54
1, 55
1, 62
1, 55
1, 56
1, 111
1, 55
1, 56
1, 64
1, 55
1, 55
1, 114
2, 173
2, 53
2, 54
2, 54
2, 164
2, 57
2, 67
2, 56
2, 55
2, 53
2, 56
2, 56
2, 56
2, 116
3, 61
3, 58
3, 54
3, 54
3, 112
3, 53
3, 111
3, 166
3, 106
3, 107
3, 52
3, 53
4, 54
4, 53
4, 58
4, 156
4, 52
4, 51
4, 52
4, 59
4, 52
4, 106
4, 61
4, 108
4, 59
4, 55
5, 53
5, 52
5, 54
5, 52
5, 52
5, 168
5, 54
5, 52
5, 58
5, 62
5, 52
5, 59
5, 53
5, 53
5, 54
6, 273
6, 53
6, 61
6, 53
6, 55
6, 162
6, 52
6, 53
6, 55
6, 53
6, 51
6, 55
6, 112
7, 108
7, 109
7, 57
7, 58
7, 105
7, 51
7, 105
7, 52
7, 60
7, 55
7, 53
7, 54
7, 53
8, 124
8, 53
8, 58
8, 54
8, 54
8, 52
8, 53
8, 51
8, 52
8, 61
8, 51
8, 54
8, 171
8, 51
8, 60
9, 107
9, 58
9, 55
9, 51
9, 105
9, 52
9, 53
9, 51
9, 105
9, 53
9, 112
9, 55
9, 161
9, 54
10, 53
10, 64
10, 52
10, 53
10, 52
10, 53
10, 108
10, 61
10, 106
10, 58
10, 53
10, 55
10, 106
10, 57
10, 53
11, 163
11, 53
11, 109
11, 53
11, 53
11, 52
11, 62
11, 53
11, 54
11, 61
11, 53
11, 53
11, 54
11, 54
11, 54
11, 55
12, 54
12, 51
12, 51
12, 53
12, 52
12, 53
12, 53
12, 60
12, 61
12, 110
12, 105
12, 54
12, 53
12, 114
12, 53
13, 52
13, 109
13, 57
13, 134
13, 54
13, 53
13, 54
13, 55
13, 52
13, 115
13, 53
13, 157
13, 53
14, 51
14, 110
14, 53
14, 55
14, 52
14, 106
14, 81
14, 56
14, 54
14, 54
14, 51
14, 105
14, 51
14, 55
14, 52
15, 53
15, 53
15, 52
15, 236
15, 164
15, 57
15, 117
15, 56
15, 237
16, 54
16, 62
16, 56
16, 54
16, 57
16, 54
16, 54
16, 55
16, 55
16, 119
16, 174
16, 228
17, 108
17, 56
17, 178
17, 55
17, 163
17, 105
17, 56
17, 54
17, 55
17, 53
17, 53
17, 53
18, 111
18, 114
18, 54
18, 54
18, 67
18, 53
18, 55
18, 61
18, 54
18, 55
18, 110
18, 53
18, 55
18, 62
18, 54
19, 54
19, 55
19, 87
19, 54
